Trial, PIPW              , POR               , PDR
    0, 1.9413986206054688, 1.9677975177764893, 1.9961687
    1, 1.7667573690414429, 2.0891895294189453, 2.0264542
    2, 2.063176393508911 , 2.044666290283203 , 2.0722926
    3, 2.010045289993286 , 1.9250457286834717, 1.8968201
    4, 1.989220142364502 , 2.047964096069336 , 2.021625
    5, 2.260761260986328 , 1.950805425643921 , 2.0226872
    6, 2.0380935668945312, 2.044729471206665 , 1.9895062
    7, 2.0600645542144775, 2.03224778175354  , 2.0283003
    8, 2.2369163036346436, 2.057175636291504 , 2.0619085
    9, 2.0939412117004395, 2.04752779006958  , 1.9989377
   10, 1.8979095220565796, 1.9723336696624756, 2.0009475
   11, 2.0311365127563477, 2.1166045665740967, 2.044931
   12, 2.006631374359131 , 2.0257668495178223, 2.0268197
   13, 1.9826099872589111, 2.006740093231201 , 2.0500238
   14, 1.8557631969451904, 2.0228447914123535, 2.0097513
   15, 1.8160507678985596, 1.956587791442871 , 2.0183773
   16, 1.9445090293884277, 2.0026655197143555, 1.9969537
   17, 2.0163497924804688, 1.925812840461731 , 1.9765867
   18, 2.2390143871307373, 1.9954125881195068, 2.0086071
   19, 2.000359058380127 , 2.042693614959717 , 1.980816
   20, 1.92431640625     , 2.070709705352783 , 2.0043008
   21, 2.0299453735351562, 2.0170605182647705, 2.0396044
   22, 2.213085651397705 , 2.032231092453003 , 2.0405598
   23, 2.1271305084228516, 2.027402877807617 , 2.0431514
   24, 2.0089659690856934, 2.0185513496398926, 2.05816
   25, 1.8510782718658447, 1.8861660957336426, 1.9502242
   26, 1.8536615371704102, 2.02605938911438  , 2.0001848
   27, 2.105656862258911 , 1.9634652137756348, 1.9364947
   28, 2.076345920562744 , 1.9461191892623901, 2.0189922
   29, 1.8188141584396362, 1.9948770999908447, 1.9590125
   30, 1.8798251152038574, 1.9263882637023926, 1.9113379
   31, 1.8312466144561768, 1.974257230758667 , 1.9556979
   32, 2.014810085296631 , 1.931685447692871 , 1.9403539
   33, 2.085456609725952 , 2.034121036529541 , 2.0315664
   34, 2.244671106338501 , 1.9535903930664062, 1.9486285
   35, 2.00981068611145  , 2.0929036140441895, 2.0351872
   36, 2.1645193099975586, 2.0811219215393066, 2.0583644
   37, 2.092007875442505 , 1.9844982624053955, 2.0338778
   38, 2.1435861587524414, 1.9598379135131836, 2.021615
   39, 2.275204658508301 , 2.0323450565338135, 2.0477667
   40, 1.9525964260101318, 1.9953705072402954, 1.9759772
   41, 1.7793776988983154, 1.9089994430541992, 2.019197
   42, 2.041074752807617 , 2.06826114654541  , 2.0310686
   43, 2.1400506496429443, 2.0491433143615723, 2.0732102
   44, 1.8337438106536865, 1.991626262664795 , 1.9740663
   45, 2.102077007293701 , 2.038898468017578 , 2.0432198
   46, 2.0179173946380615, 2.0478367805480957, 2.0151656
   47, 1.9047954082489014, 1.960929036140442 , 1.9714144
   48, 1.9802134037017822, 2.0625545978546143, 2.0148928
   49, 2.0384671688079834, 1.9976246356964111, 1.9893435
   50, 2.090200424194336 , 2.000851631164551 , 1.9719836
   51, 1.9725468158721924, 2.0646982192993164, 2.0083325
   52, 2.1560182571411133, 2.07917857170105  , 2.0038197
   53, 1.8761488199234009, 2.0495643615722656, 2.023384
   54, 1.8998230695724487, 1.9930431842803955, 2.0209148
   55, 2.0890684127807617, 2.037606716156006 , 2.0578954
   56, 1.9504613876342773, 1.9240505695343018, 2.0121567
   57, 2.3311877250671387, 2.025940179824829 , 2.0226765
   58, 2.0335025787353516, 1.9753577709197998, 2.0152042
   59, 2.032468318939209 , 2.0329432487487793, 2.0153344
   60, 2.307032585144043 , 2.008167266845703 , 2.0239766
   61, 1.812382459640503 , 1.9742412567138672, 2.006473
   62, 1.9349783658981323, 2.0000433921813965, 2.014228
   63, 2.0732452869415283, 2.0338735580444336, 2.0220704
   64, 1.8563828468322754, 2.057554006576538 , 2.0484283
   65, 2.228682041168213 , 2.085667371749878 , 2.0205293
   66, 2.211580276489258 , 2.0127367973327637, 2.0089505
   67, 2.114798069000244 , 2.0488877296447754, 2.049335
   68, 1.973043441772461 , 2.017899751663208 , 1.9451437
   69, 2.175818920135498 , 2.0164055824279785, 2.0395398
   70, 2.079918384552002 , 2.0559940338134766, 2.0243251
   71, 2.2478973865509033, 2.039771795272827 , 2.0336738
   72, 2.246195077896118 , 2.017000198364258 , 2.0403821
   73, 2.0317070484161377, 2.032360553741455 , 1.9610238
   74, 2.139209270477295 , 1.9650698900222778, 1.9928406
   75, 2.0850322246551514, 2.0299296379089355, 1.9811815
   76, 2.0272464752197266, 1.9136799573898315, 1.9889301
   77, 2.1398935317993164, 2.0599005222320557, 2.0268273
   78, 2.1064934730529785, 1.9771579504013062, 2.0518005
   79, 2.0515172481536865, 1.9658485651016235, 2.0033016
   80, 1.8727675676345825, 1.9787425994873047, 1.9890614
   81, 2.145374298095703 , 1.9718952178955078, 1.9749725
   82, 1.9484363794326782, 1.9772018194198608, 2.0559664
   83, 1.854175329208374 , 1.9506183862686157, 1.9716588
   84, 1.683617115020752 , 2.090526580810547 , 2.021379
   85, 1.9717276096343994, 2.0342330932617188, 2.0464852
   86, 1.9448769092559814, 1.981338620185852 , 2.0255942
   87, 2.032578229904175 , 2.0321147441864014, 2.0048223
   88, 1.9163453578948975, 1.9894800186157227, 2.0157087
   89, 1.958268404006958 , 2.0293617248535156, 1.9757909
   90, 2.11141300201416  , 1.9604249000549316, 1.9955385
   91, 2.0077130794525146, 1.949012279510498 , 1.9722619
   92, 2.2496347427368164, 2.043121814727783 , 2.089311
   93, 2.2330501079559326, 2.041142463684082 , 2.0479238
   94, 2.06369686126709  , 1.9774779081344604, 1.9735041
   95, 2.0085251331329346, 2.015075206756592 , 1.923465
   96, 1.9663560390472412, 1.9826445579528809, 1.9636292
   97, 1.8654983043670654, 2.0411741733551025, 2.0404832
   98, 2.1562211513519287, 2.0441207885742188, 2.0359035
   99, 2.061032295227051 , 2.027559518814087 , 2.0245323

